package,version,license,classification,distribution_obligation,source
dirs,6.0.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dirs-sys,0.5.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dispatch2,0.3.1,Zlib OR Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
displaydoc,0.2.7,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dlopen2,0.8.2,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dlopen2_derive,0.4.3,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
document-features,0.2.12,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dom_query,0.27.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dpi,0.1.2,Apache-2.0 AND MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dtoa,1.0.11,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dtoa-short,0.3.5,MPL-2.0,WEAK_COPYLEFT_FILE_LEVEL,Preserve MPL notices; make MPL-covered source/modifications available as required.,registry+https://github.com/rust-lang/crates.io-index
dtor,0.3.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dtor-proc-macro,0.0.6,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dunce,1.0.5,CC0-1.0 OR MIT-0 OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dyn-clone,1.0.20,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
embed-resource,3.0.11,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
embed_plist,1.2.2,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
encode_unicode,1.0.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
equivalent,1.0.2,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
erased-serde,0.4.10,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
errno,0.3.14,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
fallible-iterator,0.3.0,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
fallible-streaming-iterator,0.1.9,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
fastrand,2.3.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
fdeflate,0.3.7,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
field-offset,0.3.6,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
find-msvc-tools,0.1.9,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
flate2,1.1.10,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
fnv,1.0.7,Apache-2.0 / MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
foldhash,0.1.5,Zlib,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
foldhash,0.2.0,Zlib,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
foreign-types,0.5.0,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
foreign-types-macros,0.2.4,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
foreign-types-shared,0.3.1,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
