package,version,source,license,cargo_checksum,classification
darling_macro,0.23.0,registry+https://github.com/rust-lang/crates.io-index,MIT,ac3984ec7bd6cfa798e62b4a642426a5be0e68f9401cfc2a01e3fa9ea2fcdb8d,PERMISSIVE_OR_NOTICE
data-encoding,2.10.0,registry+https://github.com/rust-lang/crates.io-index,MIT,d7a1e2f27636f116493b8b860f5546edb47c8d8f8ea73e1d2a20be88e28d1fea,PERMISSIVE_OR_NOTICE
dbus,0.9.12,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0/MIT,3ab69f03cc8c4340c9c8e315114e1658e6775a9b16a04357973aa21cec22b32e,PERMISSIVE_OR_NOTICE
defmt,1.1.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,e2953bfe4f93bbd20cc71198842756f77d161884c99ebbabc41d80231ded88d1,PERMISSIVE_OR_NOTICE
defmt-macros,1.1.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,bad9c72e7ca2137e0dc3813245a0d282fd6daad32fd800af018306a9169b5fe8,PERMISSIVE_OR_NOTICE
defmt-parser,1.0.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,10d60334b3b2e7c9d91ef8150abfb6fa4c1c39ebbcf4a81c2e346aad939fee3e,PERMISSIVE_OR_NOTICE
deranged,0.5.8,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,7cd812cc2bc1d69d4764bd80df88b4317eaef9e773c75226407d9bc0876b211c,PERMISSIVE_OR_NOTICE
derive_more,2.1.1,registry+https://github.com/rust-lang/crates.io-index,MIT,d751e9e49156b02b44f9c1815bcb94b984cdcc4396ecc32521c739452808b134,PERMISSIVE_OR_NOTICE
derive_more-impl,2.1.1,registry+https://github.com/rust-lang/crates.io-index,MIT,799a97264921d8623a957f6c3b9011f3b5492f557bbb7a5a19b7fa6d06ba8dcb,PERMISSIVE_OR_NOTICE
digest,0.10.7,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292,PERMISSIVE_OR_NOTICE
dirs,6.0.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,c3e8aa94d75141228480295a7d0e7feb620b1a5ad9f12bc40be62411e38cce4e,PERMISSIVE_OR_NOTICE
dirs-sys,0.5.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,e01a3366d27ee9890022452ee61b2b63a67e6f13f58900b651ff5665f0bb1fab,PERMISSIVE_OR_NOTICE
dispatch2,0.3.1,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,1e0e367e4e7da84520dedcac1901e4da967309406d1e51017ae1abfb97adbd38,PERMISSIVE_OR_NOTICE
displaydoc,0.2.7,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,c6232dd377dcc64799954cbd3a9bb882e9cdc1308ccd87b1c098f1fb2eaf82a8,PERMISSIVE_OR_NOTICE
dlopen2,0.8.2,registry+https://github.com/rust-lang/crates.io-index,MIT,5e2c5bd4158e66d1e215c49b837e11d62f3267b30c92f1d171c4d3105e3dc4d4,PERMISSIVE_OR_NOTICE
dlopen2_derive,0.4.3,registry+https://github.com/rust-lang/crates.io-index,MIT,0fbbb781877580993a8707ec48672673ec7b81eeba04cfd2310bd28c08e47c8f,PERMISSIVE_OR_NOTICE
document-features,0.2.12,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,d4b8a88685455ed29a21542a33abd9cb6510b6b129abadabdcef0f4c55bc8f61,PERMISSIVE_OR_NOTICE
dom_query,0.27.0,registry+https://github.com/rust-lang/crates.io-index,MIT,521e380c0c8afb8d9a1e83a1822ee03556fc3e3e7dbc1fd30be14e37f9cb3f89,PERMISSIVE_OR_NOTICE
dpi,0.1.2,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 AND MIT,d8b14ccef22fc6f5a8f4d7d768562a182c04ce9a3b3157b91390b52ddfdf1a76,PERMISSIVE_OR_NOTICE
dtoa,1.0.11,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,4c3cf4824e2d5f025c7b531afcb2325364084a16806f6d47fbc1f5fbd9960590,PERMISSIVE_OR_NOTICE
dtoa-short,0.3.5,registry+https://github.com/rust-lang/crates.io-index,MPL-2.0,cd1511a7b6a56299bd043a9c167a6d2bfb37bf84a6dfceaba651168adfb43c87,WEAK_COPYLEFT_FILE_LEVEL
